sqrfoot,depth,value
43,2.1-4,5382.48
43,4.1-6,5556.72
43,6.1-8,5731.4
43,8.1-10,5905.64
43,10.1-12,6080.32
44,0-2,5208.24
44,2.1-4,5382.48
44,4.1-6,5556.72
44,6.1-8,5731.4
44,8.1-10,5905.64
44,10.1-12,6080.32
