sqrfoot,depth,value
1,0-2,884.32
1,2.1-4,1008.64
2,0-2,884.32
2,2.1-4,1008.64
3,0-2,884.32
3,2.1-4,1008.64
4,0-2,884.32
4,2.1-4,1008.64
5,0-2,1101.46
5,2.1-4,1282.96
6,0-2,1101.46
6,2.1-4,1282.96
7,0-2,1238.64
7,2.1-4,1477.28
8,0-2,1238.64
8,2.1-4,1477.28
9,0-2,1375.8
9,2.1-4,1671.6
10,0-2,1375.8
10,2.1-4,1671.6
